Symbol,Name,IndustryCode,Industry,MarketCapLocal,MarketCapKrwText,Currency
NXE,NexGen Energy Ltd.,50301010,우라늄,6672732577,9조 182억원,USD
PDI,PIMCO Dynamic Income Fund,55501030,폐쇄형 펀드,6627989160,"8조 9,577억원",USD
VNO,Vornado Realty Trust,60102020,상업용 REITs,6587500334,"8조 9,030억원",USD
LUMN,Lumen Technologies  Inc.,57401010,통합 통신 서비스,6580621678,"8조 8,937억원",USD
PACS,PACS Group  Inc.,56102010,의료 시설 및 서비스,6575677966,"8조 8,870억원",USD
TAL,TAL Education Group ADR,63101010,기타 교육 서비스 제공,6569271266,"8조 8,784억원",USD
NCLH,Norwegian Cruise Line Holdings Ltd.,53301010,"호텔, 모텔 및 크루즈 라인",6529651170,"8조 8,248억원",USD
HXL,Hexcel Corporation,52101010,항공우주 및 방위,6502104403,"8조 7,876억원",USD
TAP,Molson Coors Beverage Company Class B,54101010,양조업,6421471471,"8조 6,786억원",USD
MTDR,Matador Resources Company,50102020,"오일, 가스 탐사 및 생산",6417893642,"8조 6,738억원",USD
VSXY,Victoria's Secret & Co.,53403040,의류 및 액세서리 소매,6685821749,9조 359억원,USD
RNG,RingCentral Inc,57201020,소프트웨어,6657946296,"8조 9,982억원",USD
GTES,Gates Industrial Corporation Ltd,52102010,산업용 기계 및 장비,6619903096,"8조 9,468억원",USD
BLDR,Builders FirstSource Inc,53203020,건설 자재 및 비품,6549396338,"8조 8,515억원",USD
CHE,Chemed Corporation,56102010,의료 시설 및 서비스,6490804032,"8조 7,723억원",USD
ENS,EnerSys,52102030,전기 부품 및 장비,6483084666,"8조 7,619억원",USD
MAC,The Macerich Company,60102020,상업용 REITs,6465153750,"8조 7,377억원",USD
GATX,GATX Corporation,55101050,기업 금융 서비스,6460253000,"8조 7,310억원",USD
TXNM,TXNM Energy Inc,59101010,전력 유틸리티,6456673133,"8조 7,262억원",USD
OGC,OceanaGold Corp,51201060,금,6439360323,"8조 7,028억원",USD
JOBY,Joby Aviation  Inc.,52101010,항공우주 및 방위,6400551426,"8조 6,503억원",USD
LW,Lamb Weston Holdings  Inc.,54102020,식품 가공,6373719205,"8조 6,141억원",USD
NPO,Enpro Inc.,52102010,산업용 기계 및 장비,6366391738,"8조 6,042억원",USD
CWEN,Clearway Energy Inc,59101020,민자 발전 사업,6291674214,"8조 5,032억원",USD
INGM,Ingram Micro Holding Corporation,57201010,IT 서비스 및 컨설팅,6283230265,"8조 4,918억원",USD
SGHC,SGHC Limited,53301030,카지노 및 도박,6274748332,"8조 4,803억원",USD
GGB,Gerdau SA ADR,51201020,철 및 강철,6255772496,"8조 4,547억원",USD
IFS,Intercorp Financial Services Inc,55101010,은행,6233360640,"8조 4,244억원",USD
HR,Healthcare Realty Trust Inc,60102040,특수 REITs,6230645237,"8조 4,207억원",USD
TBBB,BBB Foods Inc.,54301020,식품 소매 및 유통,6226627828,"8조 4,153억원",USD
FNB,FNB Corp,55101010,은행,6219877127,"8조 4,062억원",USD
BLCO,Bausch + Lomb Corp,56101020,"의료 장비, 물품 및 유통",6189352401,"8조 3,649억원",USD
WEX,WEX Inc.,52203040,경영 지원 서비스,6176610362,"8조 3,477억원",USD
INGR,Ingredion Inc,54102020,식품 가공,6174594184,"8조 3,450억원",USD
PL,Planet Labs PBC,52101010,항공우주 및 방위,6152669494,"8조 3,153억원",USD
CAVA,CAVA Group  Inc.,53301020,레스토랑 및 바,6151014387,"8조 3,131억원",USD
